distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	2	307	9	27255	19.73
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	2	479	9	27255	12.64
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	2	627	9	27255	9.66
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	3	754	9	27255	12.05
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	3	868	9	27255	10.47
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	3	991	9	27255	9.17
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	3	1101	9	27255	8.25
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	3	1212	9	27255	7.5
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	3	1305	9	27255	6.96
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	3	1412	9	27255	6.43
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	3	1507	9	27255	6.03
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	3	1580	9	27255	5.75
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	4	1673	9	27255	7.24
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	4	1745	9	27255	6.94
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	4	1823	9	27255	6.64
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	4	1905	9	27255	6.36
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	4	1990	9	27255	6.09
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	4	2065	9	27255	5.87
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	4	2141	9	27255	5.66
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	4	2224	9	27255	5.45
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	4	2297	9	27255	5.27
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	4	2375	9	27255	5.1
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	4	2433	9	27255	4.98
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	4	2505	9	27255	4.84
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	4	2582	9	27255	4.69
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	calcium-disease-drug	CALCIUM	4	2655	9	27255	4.56
